"filename", "language", "Markdown", "C++", "comment", "blank", "total"
"/home/lkimuk/lkimuk-github/okec/README.md", "Markdown", 1, 0, 0, 0, 1
"/home/lkimuk/lkimuk-github/okec/examples/src/rf_discrete.cc", "C++", 0, 43, 24, 18, 85
"/home/lkimuk/lkimuk-github/okec/examples/src/wf_discrete.cc", "C++", 0, 41, 24, 20, 85
"/home/lkimuk/lkimuk-github/okec/examples/src/wf_net.cc", "C++", 0, 81, 32, 25, 138
"/home/lkimuk/lkimuk-github/okec/include/okec/algorithms/classic/default_decision_engine.h", "C++", 0, 31, 0, 19, 50
"/home/lkimuk/lkimuk-github/okec/include/okec/algorithms/classic/worse_fit_decision_engine.h", "C++", 0, 32, 0, 20, 52
"/home/lkimuk/lkimuk-github/okec/include/okec/algorithms/decision_engine.h", "C++", 0, 74, 0, 41, 115
"/home/lkimuk/lkimuk-github/okec/include/okec/algorithms/machine_learning/DQN_decision_engine.h", "C++", 0, 60, 1, 36, 97
"/home/lkimuk/lkimuk-github/okec/include/okec/algorithms/machine_learning/DQN_decision_engine2.h", "C++", 0, 0, 59, 34, 93
"/home/lkimuk/lkimuk-github/okec/include/okec/algorithms/machine_learning/RL_brain.hpp", "C++", 0, 147, 15, 32, 194
"/home/lkimuk/lkimuk-github/okec/include/okec/common/message.h", "C++", 0, 51, 1, 25, 77
"/home/lkimuk/lkimuk-github/okec/include/okec/common/message_handler.hpp", "C++", 0, 28, 0, 11, 39
"/home/lkimuk/lkimuk-github/okec/include/okec/common/resource.h", "C++", 0, 63, 3, 40, 106
"/home/lkimuk/lkimuk-github/okec/include/okec/common/response.h", "C++", 0, 42, 2, 18, 62
"/home/lkimuk/lkimuk-github/okec/include/okec/common/task.h", "C++", 0, 71, 1, 38, 110
"/home/lkimuk/lkimuk-github/okec/include/okec/config/config.h", "C++", 0, 7, 0, 4, 11
"/home/lkimuk/lkimuk-github/okec/include/okec/devices/base_station.h", "C++", 0, 93, 1, 41, 135
"/home/lkimuk/lkimuk-github/okec/include/okec/devices/client_device.h", "C++", 0, 71, 7, 37, 115
"/home/lkimuk/lkimuk-github/okec/include/okec/devices/cloud_server.h", "C++", 0, 31, 5, 20, 56
"/home/lkimuk/lkimuk-github/okec/include/okec/devices/edge_device.h", "C++", 0, 48, 5, 30, 83
"/home/lkimuk/lkimuk-github/okec/include/okec/network/multiple_LAN_WLAN_network_model.hpp", "C++", 0, 122, 20, 32, 174
"/home/lkimuk/lkimuk-github/okec/include/okec/network/multiple_and_single_LAN_WLAN_network_model.hpp", "C++", 0, 122, 3, 43, 168
"/home/lkimuk/lkimuk-github/okec/include/okec/network/network_model.hpp", "C++", 0, 185, 28, 47, 260
"/home/lkimuk/lkimuk-github/okec/include/okec/network/udp_application.h", "C++", 0, 35, 1, 17, 53
"/home/lkimuk/lkimuk-github/okec/include/okec/okec.hpp", "C++", 0, 26, 1, 9, 36
"/home/lkimuk/lkimuk-github/okec/include/okec/utils/color.h", "C++", 0, 13, 5, 6, 24
"/home/lkimuk/lkimuk-github/okec/include/okec/utils/delegate.hpp", "C++", 0, 38, 0, 16, 54
"/home/lkimuk/lkimuk-github/okec/include/okec/utils/format_helper.hpp", "C++", 0, 73, 44, 20, 137
"/home/lkimuk/lkimuk-github/okec/include/okec/utils/log.h", "C++", 0, 43, 0, 15, 58
"/home/lkimuk/lkimuk-github/okec/include/okec/utils/message_helper.hpp", "C++", 0, 16, 0, 9, 25
"/home/lkimuk/lkimuk-github/okec/include/okec/utils/packet_helper.h", "C++", 0, 16, 2, 11, 29
"/home/lkimuk/lkimuk-github/okec/include/okec/utils/read_csv.h", "C++", 0, 13, 0, 8, 21
"/home/lkimuk/lkimuk-github/okec/include/okec/utils/singleton.hpp", "C++", 0, 24, 25, 11, 60
"/home/lkimuk/lkimuk-github/okec/include/okec/utils/visulizer.hpp", "C++", 0, 21, 1, 6, 28
"/home/lkimuk/lkimuk-github/okec/src/algorithms/classic/default_decision_engine.cc", "C++", 0, 283, 40, 66, 389
"/home/lkimuk/lkimuk-github/okec/src/algorithms/classic/worse_fit_decision_engine.cc", "C++", 0, 213, 134, 72, 419
"/home/lkimuk/lkimuk-github/okec/src/algorithms/decision_engine.cc", "C++", 0, 309, 30, 55, 394
"/home/lkimuk/lkimuk-github/okec/src/algorithms/maching_learning/DQN_decision_engine.cc", "C++", 0, 290, 114, 110, 514
"/home/lkimuk/lkimuk-github/okec/src/algorithms/maching_learning/DQN_decision_engine2.cc", "C++", 0, 0, 299, 76, 375
"/home/lkimuk/lkimuk-github/okec/src/common/message.cc", "C++", 0, 84, 11, 24, 119
"/home/lkimuk/lkimuk-github/okec/src/common/resource.cc", "C++", 0, 180, 8, 47, 235
"/home/lkimuk/lkimuk-github/okec/src/common/response.cc", "C++", 0, 114, 54, 36, 204
"/home/lkimuk/lkimuk-github/okec/src/common/task.cc", "C++", 0, 325, 7, 68, 400
"/home/lkimuk/lkimuk-github/okec/src/devices/base_station.cc", "C++", 0, 167, 41, 38, 246
"/home/lkimuk/lkimuk-github/okec/src/devices/client_device.cc", "C++", 0, 118, 4, 23, 145
"/home/lkimuk/lkimuk-github/okec/src/devices/cloud_server.cc", "C++", 0, 87, 2, 21, 110
"/home/lkimuk/lkimuk-github/okec/src/devices/edge_device.cc", "C++", 0, 113, 3, 24, 140
"/home/lkimuk/lkimuk-github/okec/src/network/udp_application.cc", "C++", 0, 110, 1, 28, 139
"/home/lkimuk/lkimuk-github/okec/src/utils/packet_helper.cc", "C++", 0, 26, 0, 9, 35
"/home/lkimuk/lkimuk-github/okec/src/utils/read_csv.cc", "C++", 0, 27, 1, 5, 33
"Total", "-", 1, 4207, 1059, 1461, 6728